id_rec_arrec_detalhe;ano_exercicio;ds_municipio;ds_orgao;mes_referencia;mes_ref_extenso;ds_poder;ds_fonte_recurso;ds_cd_aplicacao_fixo;ds_cd_aplicacao_variavel;ds_categoria;ds_subcategoria;ds_fonte;ds_rubrica;ds_alinea;ds_subalinea;vl_arrecadacao;data_atualizacao
11627176;2008;São José dos Campos;PREFEITURA MUNICIPAL DE SÃO JOSÉ DOS CAMPOS;1;janeiro;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - RECEITAS CORRENTES;11000000 - RECEITA TRIBUTÁRIA;11100000 - IMPOSTOS;11120000 - IMPOSTOS SOBRE O PATRIMÔNIO E A RENDA;11120200 - IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA;;410821.29;2015-09-19 13:46:05.312119
11627177;2008;São José dos Campos;PREFEITURA MUNICIPAL DE SÃO JOSÉ DOS CAMPOS;1;janeiro;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - RECEITAS CORRENTES;11000000 - RECEITA TRIBUTÁRIA;11100000 - IMPOSTOS;11120000 - IMPOSTOS SOBRE O PATRIMÔNIO E A RENDA;11120400 - IMPOSTO SOBRE A RENDA E PROVENTOS DE QUALQUER NATUREZA;11120431 - RETIDO NAS FONTES - TRABALHO;3458301.97;2015-09-19 13:46:05.312119
11627178;2008;São José dos Campos;PREFEITURA MUNICIPAL DE SÃO JOSÉ DOS CAMPOS;1;janeiro;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - RECEITAS CORRENTES;11000000 - RECEITA TRIBUTÁRIA;11100000 - IMPOSTOS;11120000 - IMPOSTOS SOBRE O PATRIMÔNIO E A RENDA;11120800 - IMPOSTO SOBRE A TRANSMISSÃO INTER VIVOS - BENS IMÓVEIS E DIREITOS REAIS SOBRE IMÓVEIS;;1607770.87;2015-09-19 13:46:05.312119
11627179;2008;São José dos Campos;PREFEITURA MUNICIPAL DE SÃO JOSÉ DOS CAMPOS;1;janeiro;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - RECEITAS CORRENTES;11000000 - RECEITA TRIBUTÁRIA;11100000 - IMPOSTOS;11130000 - IMPOSTOS SOBRE A PRODUÇÃO E A CIRCULAÇÃO;11130500 - IMPOSTO SOBRE SERVIÇOS DE QUALQUER NATUREZA;;14871822.46;2015-09-19 13:46:05.312119
11627180;2008;São José dos Campos;PREFEITURA MUNICIPAL DE SÃO JOSÉ DOS CAMPOS;1;janeiro;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - RECEITAS CORRENTES;11000000 - RECEITA TRIBUTÁRIA;11200000 - TAXAS;11210000 - TAXAS PELO EXERCÍCIO DO PODER DE POLICIA;11211700 - TAXA DE FISCALIZAÇÃO DE VIGILÂNCIA SANITÁRIA;;26371.57;2015-09-19 13:46:05.312119
11627181;2008;São José dos Campos;PREFEITURA MUNICIPAL DE SÃO JOSÉ DOS CAMPOS;1;janeiro;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - RECEITAS CORRENTES;11000000 - RECEITA TRIBUTÁRIA;11200000 - TAXAS;11210000 - TAXAS PELO EXERCÍCIO DO PODER DE POLICIA;11219900 - OUTRAS TAXAS PELO EXERCÍCIO DE PODER DE POLÍCIA;;106958.54;2015-09-19 13:46:05.312119
11627182;2008;São José dos Campos;PREFEITURA MUNICIPAL DE SÃO JOSÉ DOS CAMPOS;1;janeiro;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - RECEITAS CORRENTES;11000000 - RECEITA TRIBUTÁRIA;11200000 - TAXAS;11220000 - TAXAS PELA PRESTAÇÃO DE SERVIÇOS;11229900 - OUTRAS TAXAS PELA PRESTAÇÃO DE SERVIÇOS;;47147.27;2015-09-19 13:46:05.312119
11627183;2008;São José dos Campos;PREFEITURA MUNICIPAL DE SÃO JOSÉ DOS CAMPOS;1;janeiro;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - RECEITAS CORRENTES;11000000 - RECEITA TRIBUTÁRIA;11300000 - CONTRIBUIÇÃO DE MELHORIA;11300000 - CONTRIBUIÇÃO DE MELHORIA;11300400 - CONTRIBUIÇÃO DE MELHORIA PARA PAVIMENTAÇÃO E OBRAS COMPLEMENTARES;;583.91;2015-09-19 13:46:05.312119
11627184;2008;São José dos Campos;PREFEITURA MUNICIPAL DE SÃO JOSÉ DOS CAMPOS;1;janeiro;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - RECEITAS CORRENTES;13000000 - RECEITA PATRIMONIAL;13100000 - RECEITAS IMOBILIÁRIAS;13110000 - ALUGUÉIS;13110100 - ALUGUÉIS DE IMÓVEIS URBANOS;;4642.32;2015-09-19 13:46:05.312119
11627185;2008;São José dos Campos;PREFEITURA MUNICIPAL DE SÃO JOSÉ DOS CAMPOS;1;janeiro;EXECUTIVO;01 - TESOURO;110 - GERAL;00 - CÓDIGO DE APLICAÇÃO NÃO CONTÉM/INFORMOU PARTE VARIÁVEL;10000000 - RECEITAS CORRENTES;13000000 - RECEITA PATRIMONIAL;13100000 - RECEITAS IMOBILIÁRIAS;13110000 - ALUGUÉIS;13110200 - ALUGUÉIS DE IMÓVEIS RURAIS;;6000.00;2015-09-19 13:46:05.312119
